"","Sub_region","Zone","term","estimate","std.error","statistic","p.value","r.squared","adj.r.squared","sigma","statistic.1","p.value.1","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"11","UK","Offshore","(Intercept)",2033.7695691405,97.6799767333437,20.82074174416,3.0221057735055e-39,0.105872308279713,0.0974371413766917,14.7866349650475,12.5512997545773,0.00059014484950821,1,-443.158149230379,892.316298460759,900.362692142132,23176.3248004939,106,108
"12","UK","Offshore","BestSalinity",9.6072997433634,2.71179583807617,3.54278135856242,0.000590144849508196,0.105872308279713,0.0974371413766917,14.7866349650475,12.5512997545773,0.00059014484950821,1,-443.158149230379,892.316298460759,900.362692142132,23176.3248004939,106,108
"13","UK","Oceanic","(Intercept)",2004.38946002369,104.27050583112,19.222976277396,1.71120965265864e-19,0.283499241474435,0.26178709727669,12.7183352768846,13.0571738512996,0.000992973434362735,1,-137.639703532856,281.279407065713,285.945451250181,5337.94972310312,33,35
"14","UK","Oceanic","BestSalinity",10.4937335839544,2.90405903586778,3.6134711637564,0.000992973434362968,0.283499241474435,0.26178709727669,12.7183352768846,13.0571738512996,0.000992973434362735,1,-137.639703532856,281.279407065713,285.945451250181,5337.94972310312,33,35
"15","MK","Inshore","(Intercept)",3140.70562130177,278.047864481676,11.2955574291373,1.21057232843436e-20,0.0635895840693868,0.055850655012109,111.449561984494,8.21684545739391,0.00489651272694054,1,-753.290592232573,1512.58118446515,1521.01773753126,1502941.5888508,121,123
"16","MK","Inshore","BestSalinity",-22.0611578147743,7.69618931112513,-2.86650404803376,0.00489651272694054,0.0635895840693868,0.055850655012109,111.449561984494,8.21684545739391,0.00489651272694054,1,-753.290592232573,1512.58118446515,1521.01773753126,1502941.5888508,121,123
"17","MK","Mid channel","(Intercept)",2006.18273586361,269.590137504192,7.44160285104056,1.49437326285282e-11,0.0138756225272052,0.00585835116563782,65.4833198683162,1.73071633744632,0.190766374511146,1,-699.083661743871,1404.16732348774,1412.65226469965,527432.017260075,123,125
"18","MK","Mid channel","BestSalinity",9.83641768584419,7.47694206168054,1.31556692625131,0.190766374511146,0.0138756225272052,0.00585835116563782,65.4833198683162,1.73071633744632,0.190766374511146,1,-699.083661743871,1404.16732348774,1412.65226469965,527432.017260075,123,125
"19","MK","Offshore","(Intercept)",2018.18369945963,150.576882649537,13.4030115642445,7.10897535987487e-26,0.0430152109498577,0.0352975916833244,28.3934854069543,5.57363734388769,0.0197920229420512,1,-599.394359882594,1204.78871976519,1213.29756548604,99967.561680811,124,126
"20","MK","Offshore","BestSalinity",9.87946622598311,4.18469805571104,2.36085521451187,0.0197920229420489,0.0430152109498577,0.0352975916833244,28.3934854069543,5.57363734388769,0.0197920229420512,1,-599.394359882594,1204.78871976519,1213.29756548604,99967.561680811,124,126
"21","MK","Oceanic","(Intercept)",2121.70746470957,103.310462540188,20.5371983876679,1.60790893865949e-32,0.0778433717170439,0.0655479500066044,12.8703204012995,6.33108595624264,0.0140019001293217,1,-304.97419225735,615.948384514701,622.979800780262,12423.3860424079,75,77
"22","MK","Oceanic","BestSalinity",7.21677553930496,2.86816474251352,2.51616493025451,0.0140019001293215,0.0778433717170439,0.0655479500066044,12.8703204012995,6.33108595624264,0.0140019001293217,1,-304.97419225735,615.948384514701,622.979800780262,12423.3860424079,75,77
"23","LK","Inshore","(Intercept)",2468.93100314493,322.588432172297,7.65350135626145,3.77512989975992e-12,0.00212220624729336,-0.00549518149127692,102.554092924941,0.278600265619626,0.598513032399454,1,-803.55315244767,1613.10630489534,1621.77735228,1377771.79881113,131,133
"24","LK","Inshore","BestSalinity",-4.71262917994807,8.92837668976758,-0.527825980432592,0.598513032399453,0.00212220624729336,-0.00549518149127692,102.554092924941,0.278600265619626,0.598513032399454,1,-803.55315244767,1613.10630489534,1621.77735228,1377771.79881113,131,133
"25","LK","Mid channel","(Intercept)",2011.90346329804,281.509875601934,7.14683084917045,5.15827449191381e-11,0.0109006865540896,0.00351934839404555,67.6639221153485,1.47679002339929,0.226414257706545,1,-765.147440318845,1536.29488063769,1545.0328452949,613506.451708281,134,136
"26","LK","Mid channel","BestSalinity",9.50799675926831,7.82401456303954,1.21523249767247,0.226414257706549,0.0109006865540896,0.00351934839404555,67.6639221153485,1.47679002339929,0.226414257706545,1,-765.147440318845,1536.29488063769,1545.0328452949,613506.451708281,134,136
"27","LK","Offshore","(Intercept)",1850.1608739563,163.023744428746,11.3490269803303,2.12437015016899e-22,0.0598408077044392,0.054108129702637,33.992059183082,10.4385433275036,0.00149145100087534,1,-819.874796275115,1645.74959255023,1655.0855559153,189495.454351008,164,166
"28","LK","Offshore","BestSalinity",14.6311032643382,4.52852872029462,3.23087346200739,0.00149145100087536,0.0598408077044392,0.054108129702637,33.992059183082,10.4385433275036,0.00149145100087534,1,-819.874796275115,1645.74959255023,1655.0855559153,189495.454351008,164,166
"29","LK","Oceanic","(Intercept)",2103.90224613719,80.7920910145581,26.0409431135789,1.0634684894027e-41,0.12470143635193,0.114155670524845,12.193078962655,11.8247871607061,0.000916475691844561,1,-332.171644625759,670.343289251517,677.671243020988,12339.7074909318,83,85
"30","LK","Oceanic","BestSalinity",7.71844215899708,2.24456914063667,3.43871882547924,0.000916475691844886,0.12470143635193,0.114155670524845,12.193078962655,11.8247871607061,0.000916475691844561,1,-332.171644625759,670.343289251517,677.671243020988,12339.7074909318,83,85
