"","Sub_region","Zone","term","estimate","std.error","statistic","p.value","r.squared","adj.r.squared","sigma","statistic.1","p.value.1","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"11","UK","Offshore","(Intercept)",1.04546719230457,0.0627330632057367,16.6653298735931,2.21103044295216e-31,0.0314732761996685,0.0223362316355142,0.00949642840717257,3.44457947848286,0.0662373263199476,1,350.702680482689,-695.405360965378,-687.358967284005,0.00955930816421073,106,108
"12","UK","Offshore","BestSalinity",0.00323233259457847,0.00174159807772574,1.85595783316401,0.0662373263199474,0.0314732761996685,0.0223362316355142,0.00949642840717257,3.44457947848286,0.0662373263199476,1,350.702680482689,-695.405360965378,-687.358967284005,0.00955930816421073,106,108
"13","UK","Oceanic","(Intercept)",1.01587021850953,0.077856842228662,13.0479247479106,1.40774877265986e-14,0.0991180051400919,0.0718185507503977,0.00949654377497128,3.63076872252472,0.0654642932898298,1,114.35581767888,-222.711635357759,-218.045591173291,0.00297608334110821,33,35
"14","UK","Oceanic","BestSalinity",0.00413180710864767,0.00216840672610219,1.90545761499033,0.0654642932898325,0.0991180051400919,0.0718185507503977,0.00949654377497128,3.63076872252472,0.0654642932898298,1,114.35581767888,-222.711635357759,-218.045591173291,0.00297608334110821,33,35
"15","MK","Inshore","(Intercept)",0.705006672159669,0.0705829089930155,9.98834820238753,1.69210318600637e-17,0.261549803522633,0.255446909336869,0.0282916551275343,42.8566833311263,1.49570183780004e-09,1,264.996951642105,-523.993903284211,-515.557350218094,0.0968505477324957,121,123
"16","MK","Inshore","BestSalinity",0.0127898370234361,0.00195369035023092,6.54650161010646,1.49570183779995e-09,0.261549803522633,0.255446909336869,0.0282916551275343,42.8566833311263,1.49570183780004e-09,1,264.996951642105,-523.993903284211,-515.557350218094,0.0968505477324957,121,123
"17","MK","Mid channel","(Intercept)",0.648989848866176,0.067325851394807,9.63953422676262,1.01108261846291e-16,0.323013947612704,0.317509995967279,0.016353418204048,58.687642701438,4.73307349357403e-12,1,337.805562097788,-669.611124195576,-661.126182983669,0.0328944172956482,123,125
"18","MK","Mid channel","BestSalinity",0.0143045830027187,0.00186724742526777,7.66078603678747,4.73307349357419e-12,0.323013947612704,0.317509995967279,0.016353418204048,58.687642701438,4.73307349357403e-12,1,337.805562097788,-669.611124195576,-661.126182983669,0.0328944172956482,123,125
"19","MK","Offshore","(Intercept)",1.08617341605484,0.0578512378293082,18.7752839318603,4.67957110517721e-38,0.0141404564094962,0.0061899762192501,0.0109087015760833,1.77856633450195,0.184770025764979,1,391.514273131326,-777.028546262652,-768.519700541798,0.0147559714894291,124,126
"20","MK","Offshore","BestSalinity",0.00214414185715253,0.00160774986309313,1.33362900932079,0.184770025764977,0.0141404564094962,0.0061899762192501,0.0109087015760833,1.77856633450195,0.184770025764979,1,391.514273131326,-777.028546262652,-768.519700541798,0.0147559714894291,124,126
"21","MK","Oceanic","(Intercept)",1.16224194953095,0.0731311128250318,15.8925784749323,1.01965731851224e-25,5.4947546518058e-06,-0.0133277653152861,0.00911060535611876,0.000412108863322529,0.983857596183215,1,253.52529057572,-501.05058115144,-494.019164885879,0.00622523474662049,75,77
"22","MK","Oceanic","BestSalinity",4.1216199786876e-05,0.00203030820139771,0.0203004646085268,0.983857596183225,5.4947546518058e-06,-0.0133277653152861,0.00911060535611876,0.000412108863322529,0.983857596183215,1,253.52529057572,-501.05058115144,-494.019164885879,0.00622523474662049,75,77
"23","LK","Inshore","(Intercept)",0.723772451066305,0.0779754274514664,9.28205813962094,5.12937588689861e-16,0.189539985253293,0.183257349480063,0.0246953418235731,30.1688641669958,2.02747338621011e-07,1,299.976188602845,-593.952377205691,-585.326785236087,0.0786719281040225,129,131
"24","LK","Inshore","BestSalinity",0.0118573462345368,0.00215877818930569,5.49261906261447,2.0274733862101e-07,0.189539985253293,0.183257349480063,0.0246953418235731,30.1688641669958,2.02747338621011e-07,1,299.976188602845,-593.952377205691,-585.326785236087,0.0786719281040225,129,131
"25","LK","Mid channel","(Intercept)",0.711546370708431,0.0650261723057498,10.9424612502605,3.11894627675962e-20,0.262921735302448,0.257337809054739,0.0156053114304732,47.0854598787606,2.38866486498085e-10,1,368.329063146663,-730.658126293325,-721.964606893473,0.0321453983191515,132,134
"26","LK","Mid channel","BestSalinity",0.012403050836995,0.00180752834107656,6.86188457194963,2.38866486498108e-10,0.262921735302448,0.257337809054739,0.0156053114304732,47.0854598787606,2.38866486498085e-10,1,368.329063146663,-730.658126293325,-721.964606893473,0.0321453983191515,132,134
"27","LK","Offshore","(Intercept)",1.05192127066093,0.0473817121713466,22.2009974408873,7.24477842573207e-51,0.0307427870538021,0.0247225559174905,0.00987557104092594,5.10657919234581,0.0251762919278305,1,522.402861005993,-1038.80572201199,-1029.52447140957,0.0157018314448844,161,163
"28","LK","Offshore","BestSalinity",0.00297445384171975,0.00131626155940072,2.25977414631327,0.0251762919278295,0.0307427870538021,0.0247225559174905,0.00987557104092594,5.10657919234581,0.0251762919278305,1,522.402861005993,-1038.80572201199,-1029.52447140957,0.0157018314448844,161,163
"29","LK","Oceanic","(Intercept)",1.22245916788013,0.0618350411343606,19.7696831028845,9.79758396789804e-33,0.0113746451570161,-0.000830606137341761,0.00932177359433251,0.931946822125186,0.337231000754226,1,271.298743639831,-536.597487279662,-529.340965456272,0.00703853249846359,81,83
"30","LK","Oceanic","BestSalinity",-0.00165862267401977,0.00171811421956669,-0.965373928654217,0.337231000754202,0.0113746451570161,-0.000830606137341761,0.00932177359433251,0.931946822125186,0.337231000754226,1,271.298743639831,-536.597487279662,-529.340965456272,0.00703853249846359,81,83
